DistrictName,Actual_Beneficiaries,Gender_Exclusion_Gap_Pct,Target_Baseline_Holdings,True_Uptake_Gap_Pct,Female_Literacy_Pct
PITHORAGARH,65390,85.43,79846,18.1,89.1
NAINITAL,42120,85.17,50663,16.86,85.4
DEHRADUN,52400,83.59,62920,16.72,87.59
CHAMPAWAT,29810,83.5,36274,17.82,84.73
UDHAM SINGH NAGAR,88200,82.5,106859,17.46,72.26
UTTARKASHI,31100,81.78,39536,21.34,81.23
HARIDWAR,112040,81.7,130545,14.18,76.39
TEHRI GARHWAL,71900,81.44,86433,16.81,75.54
RUDRAPRAYAG,21850,81.27,27093,19.35,87.17
PAURI GARHWAL,69320,80.13,84429,17.9,85.83
